,Genename,Counts,Sample
659,RNF6,1625.6261,Moderate 4
660,SUGT1,3824.3923,Moderate 4
661,STAT2,3477.2185,Moderate 4
662,ARPC2,36000.19,Moderate 4
663,WDR5,860.9155,Moderate 4
664,PSMB9,46149.902,Moderate 4
665,LBR,3832.3503,Moderate 4
666,MORF4L2,2072.3499,Moderate 4
667,FUS,9926.389,Moderate 4
668,ALAS1,694.68774,Moderate 4
669,ZNF140,637.2652,Moderate 4
670,ZBED6,66.501076,Moderate 4
671,VPS33B,359.33646,Moderate 4
672,SULF2,210.44444,Moderate 4
673,RNPEPL1,1369.974,Moderate 4
674,ARID4B,8158.656,Moderate 4
675,ELP2,1693.7192,Moderate 4
676,MCFD2,1079.6129,Moderate 4
677,PI4KA,593.7178,Moderate 4
678,RFK,662.30145,Moderate 4
679,RBM48,1159.4001,Moderate 4
680,PERP,405.22668,Moderate 4
681,EGR1,2066.568,Moderate 4
682,CCNDBP1,6266.294,Moderate 4
683,COPE,6843.0703,Moderate 4
684,PUS7L,1119.8658,Moderate 4
685,DDA1,1966.223,Moderate 4
686,RPS6KB1,979.45667,Moderate 4
687,MRPL28,2214.7378,Moderate 4
688,ZRANB2,4865.0093,Moderate 4
